Mission ID,Mission Name,Launch Date,Target Type,Target Name,Mission Type,Distance from Earth (light-years),Mission Duration (years),Mission Cost (billion USD),Scientific Yield (points),Crew Size,Mission Success (%),Fuel Consumption (tons),Payload Weight (tons),Launch Vehicle
MSN-0092,Mission-92,30-09-2026,Planet,Titan,Exploration,14.94,11.6,287.6,22.1,62,100,1482.92,55.91,Starship
MSN-0093,Mission-93,07-10-2026,Asteroid,Io,Mining,46.23,24.2,419.98,36.9,99,100,4621.88,82.77,SLS
MSN-0094,Mission-94,14-10-2026,Asteroid,Ceres,Research,48.56,26.6,339.27,42.3,19,100,4821.56,63.51,Starship
MSN-0095,Mission-95,21-10-2026,Planet,Europa,Exploration,47.22,27.1,433.28,82.4,76,100,4732.24,78.66,Falcon Heavy
MSN-0096,Mission-96,28-10-2026,Asteroid,Europa,Exploration,23.76,14,309.23,35.1,80,90,2414.29,60.26,Falcon Heavy
MSN-0097,Mission-97,04-11-2026,Exoplanet,Ceres,Colonization,43.12,26.2,217.39,29,43,99.4,4231.21,42,Ariane 6
MSN-0098,Mission-98,11-11-2026,Moon,Io,Mining,42.24,24.7,511.73,96.2,74,100,4238.98,95.84,Falcon Heavy
MSN-0099,Mission-99,18-11-2026,Moon,Titan,Colonization,16.02,9.3,283.51,10.8,89,96.1,1648.62,54.57,Falcon Heavy
MSN-0100,Mission-100,25-11-2026,Planet,Ceres,Research,41.46,25.4,310.28,99.8,20,100,4125.24,60.9,Starship
MSN-0101,Mission-101,02-12-2026,Star,Proxima b,Exploration,1.95,5.8,123.33,70.9,95,82.3,230.04,22.83,Falcon Heavy
MSN-0102,Mission-102,09-12-2026,Planet,Proxima b,Exploration,29.85,16.2,360.96,84.6,68,100,3125.73,62.94,Falcon Heavy
MSN-0103,Mission-103,16-12-2026,Star,Europa,Exploration,11.58,8.9,329.2,36.5,44,100,1152.78,57.59,SLS
MSN-0104,Mission-104,23-12-2026,Moon,Betelgeuse,Research,6.12,5.3,114.85,11.3,23,74.5,631.67,19.3,Falcon Heavy
MSN-0105,Mission-105,30-12-2026,Planet,Titan,Research,3.94,4.5,67.64,76.4,2,79.7,357.1,6.9,SLS
MSN-0106,Mission-106,06-01-2027,Exoplanet,Europa,Colonization,34.84,19.1,331.48,85.1,22,100,3493.06,60.83,Falcon Heavy
MSN-0107,Mission-107,13-01-2027,Asteroid,Betelgeuse,Colonization,17.06,11.8,417.23,76.6,57,100,1729.01,76.61,Falcon Heavy
MSN-0108,Mission-108,20-01-2027,Star,Betelgeuse,Colonization,36.27,23,298.55,22.9,72,96.2,3636.74,52.82,Ariane 6
MSN-0109,Mission-109,27-01-2027,Asteroid,Proxima b,Mining,3.36,4.7,149.06,77.8,7,93.6,285.02,23.45,Ariane 6
MSN-0110,Mission-110,03-02-2027,Asteroid,Io,Exploration,15.83,9.2,348.99,79.2,78,100,1593.32,66.99,SLS
MSN-0111,Mission-111,10-02-2027,Planet,Mars,Exploration,27.02,17,47.56,69.3,56,71.1,2775.11,8.93,Falcon Heavy
MSN-0112,Mission-112,17-02-2027,Asteroid,Io,Colonization,39.56,22.1,247.02,79,67,88,3978.43,44.74,Starship
MSN-0113,Mission-113,24-02-2027,Exoplanet,Mars,Exploration,16.01,12.4,130.51,86.1,16,81.1,1649.1,17.17,Ariane 6
MSN-0114,Mission-114,03-03-2027,Asteroid,Ceres,Colonization,31.33,18.4,125.21,65.2,83,84.7,3121.15,19.26,Starship
MSN-0115,Mission-115,10-03-2027,Planet,Proxima b,Mining,44.31,23.9,146.94,18,51,85.9,4468.5,21.03,Ariane 6
MSN-0116,Mission-116,17-03-2027,Exoplanet,Betelgeuse,Mining,30.83,17.2,245.99,53.9,82,100,3096.96,39.28,Ariane 6
MSN-0117,Mission-117,24-03-2027,Moon,Titan,Research,11.72,9.9,39.32,17,80,77.9,1124.45,6.06,Falcon Heavy
MSN-0118,Mission-118,31-03-2027,Asteroid,Mars,Mining,1.32,2.7,236.8,46.7,72,98.5,147.93,40.38,Ariane 6
MSN-0119,Mission-119,07-04-2027,Planet,Io,Colonization,43.52,25.8,292.34,46.6,97,100,4302.42,51.66,Starship
MSN-0120,Mission-120,14-04-2027,Moon,Betelgeuse,Mining,1.16,2.4,293.27,15.9,12,92.4,84.36,48.85,Ariane 6
MSN-0121,Mission-121,21-04-2027,Moon,Mars,Research,43.75,24.2,243.79,41.4,53,93.4,4384.47,38.9,SLS
MSN-0122,Mission-122,28-04-2027,Star,Mars,Exploration,26.49,16.1,455.05,20,75,100,2663.86,84.08,Falcon Heavy
MSN-0123,Mission-123,05-05-2027,Exoplanet,Mars,Colonization,46.96,28.3,89.89,82.7,5,78.7,4636.54,15.39,Falcon Heavy
MSN-0124,Mission-124,12-05-2027,Asteroid,Titan,Exploration,39.96,24.7,295.43,95.3,27,100,4048.7,51.06,SLS
MSN-0125,Mission-125,19-05-2027,Planet,Proxima b,Research,49.9,26.8,41.94,16.5,12,72.6,5018.6,7.14,SLS
MSN-0126,Mission-126,26-05-2027,Star,Titan,Research,17.6,11.2,79.45,96,17,72.8,1724.76,8.04,SLS
MSN-0127,Mission-127,02-06-2027,Exoplanet,Europa,Research,38.38,20.8,334.65,57,6,100,3761.12,57.81,Ariane 6
MSN-0128,Mission-128,09-06-2027,Star,Betelgeuse,Exploration,20.16,13.1,304.96,37,97,100,2008.75,57.04,Falcon Heavy
MSN-0129,Mission-129,16-06-2027,Exoplanet,Proxima b,Exploration,24.05,14.9,471.55,16.9,5,100,2382.7,87.93,SLS
MSN-0130,Mission-130,23-06-2027,Exoplanet,Proxima b,Exploration,31.41,20.3,303.23,55.1,57,99.1,3146.66,56.23,Ariane 6
MSN-0131,Mission-131,30-06-2027,Asteroid,Proxima b,Exploration,43.7,26.6,502.55,81.5,28,100,4351.84,96.02,SLS
MSN-0132,Mission-132,07-07-2027,Exoplanet,Io,Research,49.21,27.1,45.31,73.6,78,80.1,4820.63,5.82,Starship
MSN-0133,Mission-133,14-07-2027,Star,Proxima b,Research,38.44,22.2,91.84,14.5,69,77.7,3824.58,10.7,Starship
MSN-0134,Mission-134,21-07-2027,Exoplanet,Titan,Colonization,20.95,15.1,73.67,16.6,59,84.6,2079.72,5.36,Falcon Heavy
MSN-0135,Mission-135,28-07-2027,Asteroid,Proxima b,Colonization,21.13,14.8,143.8,46.3,33,92,2144.68,19.34,Ariane 6
MSN-0136,Mission-136,04-08-2027,Asteroid,Ceres,Exploration,36.91,19.5,282.51,36.6,62,97.8,3656.09,54.59,Starship
MSN-0137,Mission-137,11-08-2027,Star,Betelgeuse,Mining,12.01,8.3,368.41,30.9,50,100,1284.93,64.91,Starship
MSN-0138,Mission-138,18-08-2027,Moon,Proxima b,Mining,5.61,5.5,64.68,35.3,19,66,465.42,5.51,Ariane 6
MSN-0139,Mission-139,25-08-2027,Moon,Betelgeuse,Research,17.8,10.8,486.64,82.3,86,100,1845.56,94.65,SLS
MSN-0140,Mission-140,01-09-2027,Exoplanet,Ceres,Research,14.43,9,426.15,93.6,69,100,1431.78,84.37,Ariane 6
MSN-0141,Mission-141,08-09-2027,Planet,Ceres,Research,14.89,8.6,165.93,46.5,66,93.5,1531.98,30.36,SLS
MSN-0142,Mission-142,15-09-2027,Exoplanet,Betelgeuse,Colonization,11.76,9.5,88.9,91.5,94,79.5,1179.99,8.64,Starship
MSN-0143,Mission-143,22-09-2027,Star,Mars,Colonization,2.2,3.2,121.13,38.9,47,84.1,276.98,17.82,Starship
MSN-0144,Mission-144,29-09-2027,Star,Europa,Research,0.99,1.7,104.18,52.9,39,69.3,79.63,13.57,Starship
MSN-0145,Mission-145,06-10-2027,Star,Io,Research,49.39,26.6,79.65,30.3,68,72,4884.07,13.21,Falcon Heavy
MSN-0146,Mission-146,13-10-2027,Star,Mars,Research,21.45,14.9,297.95,67.6,33,100,2216.03,52.34,Falcon Heavy
MSN-0147,Mission-147,20-10-2027,Star,Mars,Mining,19.28,14,129.08,98.1,13,84.3,1922.33,25.34,Falcon Heavy
MSN-0148,Mission-148,27-10-2027,Asteroid,Titan,Colonization,34.01,19.9,201.69,64.3,84,89.4,3412.08,36.46,Ariane 6
MSN-0149,Mission-149,03-11-2027,Moon,Io,Mining,10.99,8.2,526.51,42.2,54,100,1160.74,98.96,Starship
MSN-0150,Mission-150,10-11-2027,Star,Io,Mining,47.5,28.7,351.91,68.3,7,100,4698.4,68.75,Starship
MSN-0151,Mission-151,17-11-2027,Planet,Mars,Research,39.34,21.5,516.08,21.1,79,100,3963.77,94.95,Ariane 6
MSN-0152,Mission-152,24-11-2027,Planet,Proxima b,Research,4.56,4.1,88.07,90,87,79.2,426.51,15.11,Falcon Heavy
MSN-0153,Mission-153,01-12-2027,Planet,Titan,Exploration,20.94,12.6,227.11,55.3,14,93.7,2087.39,38.83,Ariane 6
MSN-0154,Mission-154,08-12-2027,Planet,Titan,Exploration,43.97,23.7,300.45,50.4,87,100,4400.61,55.92,Falcon Heavy
MSN-0155,Mission-155,15-12-2027,Asteroid,Ceres,Mining,47.24,26.1,73.21,62.7,19,66.8,4648.99,8.6,Starship
MSN-0156,Mission-156,22-12-2027,Planet,Io,Colonization,23.42,16.4,13.32,66.2,54,74.7,2303.06,1.41,SLS
MSN-0157,Mission-157,29-12-2027,Star,Mars,Research,30.71,18.8,338.68,16.5,93,100,3138.55,67.37,Falcon Heavy
MSN-0158,Mission-158,05-01-2028,Exoplanet,Ceres,Research,8.43,6.9,368.27,71.4,20,100,887.31,64.54,Starship
MSN-0159,Mission-159,12-01-2028,Planet,Betelgeuse,Mining,49.56,29.5,222.56,31.8,29,89,4952.87,41.67,Starship
MSN-0160,Mission-160,19-01-2028,Asteroid,Europa,Exploration,11.66,7,288.51,74.3,24,98.6,1178.16,49.47,SLS
MSN-0161,Mission-161,26-01-2028,Asteroid,Titan,Colonization,47.14,25.4,260.62,84,82,99.6,4699.29,42.13,Starship
MSN-0162,Mission-162,02-02-2028,Planet,Betelgeuse,Exploration,32.52,19.5,28.26,82.4,63,88.4,3319.83,3.38,Starship
MSN-0163,Mission-163,09-02-2028,Exoplanet,Betelgeuse,Exploration,30.43,18.7,184.99,59.7,74,92.5,3032.98,34.2,Falcon Heavy
MSN-0164,Mission-164,16-02-2028,Planet,Proxima b,Exploration,25.68,14,126.13,56.8,57,78.4,2579.59,18.53,Falcon Heavy
MSN-0165,Mission-165,23-02-2028,Asteroid,Europa,Exploration,11.61,8.4,102.01,22.9,8,78.1,1218.3,10.74,SLS
MSN-0166,Mission-166,01-03-2028,Moon,Betelgeuse,Research,8.91,8.1,524.47,79.8,90,100,852.13,95.72,SLS
MSN-0167,Mission-167,08-03-2028,Star,Betelgeuse,Research,11.1,9.3,327.34,34.4,62,93.8,1187.94,60.34,Starship
MSN-0168,Mission-168,15-03-2028,Asteroid,Europa,Exploration,9.4,8.3,405.66,54.7,29,100,863.48,73.14,Falcon Heavy
MSN-0169,Mission-169,22-03-2028,Planet,Europa,Colonization,39,21.8,168.75,35.6,74,90.5,3981.48,32.22,SLS
MSN-0170,Mission-170,29-03-2028,Star,Betelgeuse,Mining,17.57,10.2,248.49,22,17,88.5,1738.37,39.92,SLS
MSN-0171,Mission-171,05-04-2028,Planet,Europa,Colonization,2.99,4.2,170.55,66.7,66,92.3,286.87,24.46,Ariane 6
MSN-0172,Mission-172,12-04-2028,Planet,Betelgeuse,Colonization,48.46,25.7,62.02,14.9,6,78.6,4751.5,10.6,SLS
MSN-0173,Mission-173,19-04-2028,Moon,Betelgeuse,Colonization,44.2,26.9,109.27,77.4,58,77.3,4397.26,18.72,Starship
MSN-0174,Mission-174,26-04-2028,Star,Proxima b,Exploration,46.39,26.1,405.66,38.6,69,100,4587.01,79.95,Falcon Heavy
MSN-0175,Mission-175,03-05-2028,Star,Mars,Research,49.75,27.1,354.71,10,28,100,4944.62,68.08,SLS
MSN-0176,Mission-176,10-05-2028,Moon,Betelgeuse,Colonization,8.78,8.5,316.73,56,62,100,871.13,55.15,Ariane 6
MSN-0177,Mission-177,17-05-2028,Asteroid,Ceres,Exploration,19.87,12.9,259.69,14.2,41,96,2034.89,48.03,Falcon Heavy
MSN-0178,Mission-178,24-05-2028,Planet,Titan,Colonization,37.94,21.2,466.93,34.9,69,100,3804.38,92.32,SLS
MSN-0179,Mission-179,31-05-2028,Exoplanet,Io,Colonization,34.83,21.7,58.77,73.6,82,76.3,3498.38,8.2,Ariane 6
MSN-0180,Mission-180,07-06-2028,Planet,Mars,Exploration,7.78,8.4,192.99,15.6,90,86.7,723.22,28.78,SLS
MSN-0181,Mission-181,14-06-2028,Planet,Mars,Research,40.81,24.1,210.05,85.5,84,80.5,4036.96,35.64,Falcon Heavy
MSN-0182,Mission-182,21-06-2028,Asteroid,Mars,Research,11.3,6.8,413.69,10.3,41,100,1219.94,78.46,Falcon Heavy
MSN-0183,Mission-183,28-06-2028,Planet,Proxima b,Mining,11.27,8.9,505.46,32.2,49,100,1090.24,99.26,Falcon Heavy
MSN-0184,Mission-184,05-07-2028,Moon,Betelgeuse,Exploration,26.9,17.5,173.47,76.7,91,89.3,2772.81,24.83,Starship
MSN-0185,Mission-185,12-07-2028,Moon,Proxima b,Mining,29.69,16.4,479.02,38.5,49,100,2956.85,87.56,SLS
MSN-0186,Mission-186,19-07-2028,Star,Betelgeuse,Mining,29.05,16.4,430.94,19.2,76,100,2905.11,83.23,Starship
MSN-0187,Mission-187,26-07-2028,Exoplanet,Proxima b,Mining,4.67,6.9,120.63,42.4,71,81.1,520.52,23.24,Falcon Heavy
MSN-0188,Mission-188,02-08-2028,Planet,Proxima b,Research,43.89,23,206.42,34.3,3,82.6,4452.59,40.53,Ariane 6
MSN-0189,Mission-189,09-08-2028,Planet,Titan,Exploration,13.35,10.7,214.7,85.8,10,100,1329.46,41.56,SLS
MSN-0190,Mission-190,16-08-2028,Asteroid,Ceres,Mining,6.56,6.2,518.66,38.2,98,100,636.59,97.84,Starship
MSN-0191,Mission-191,23-08-2028,Moon,Proxima b,Exploration,44.45,25,141.06,81,89,78.9,4442.2,18.91,SLS
MSN-0192,Mission-192,30-08-2028,Exoplanet,Titan,Exploration,47.79,24.9,425.94,90.3,35,100,4795.9,80.12,Ariane 6
MSN-0193,Mission-193,06-09-2028,Star,Europa,Research,43.12,25.8,212.75,49,80,97.7,4356.57,34.09,Starship
MSN-0194,Mission-194,13-09-2028,Moon,Ceres,Mining,40.49,22.7,389.65,91.9,2,100,4049.21,73.36,Falcon Heavy
MSN-0195,Mission-195,20-09-2028,Star,Proxima b,Mining,32.8,19.6,248.62,44,24,88.7,3310.94,42.58,Starship
MSN-0196,Mission-196,27-09-2028,Asteroid,Io,Exploration,27.59,17.5,328.16,96.8,74,100,2840.92,58.26,SLS
MSN-0197,Mission-197,04-10-2028,Asteroid,Mars,Colonization,4.44,6,426.67,18,38,100,463.07,83.43,SLS
MSN-0198,Mission-198,11-10-2028,Planet,Europa,Research,20.48,15.1,421.75,71.8,22,100,2063.58,80.61,SLS
MSN-0199,Mission-199,18-10-2028,Exoplanet,Europa,Research,18.7,12.5,466.13,54.4,26,100,1794.05,86.78,SLS
